                  螺纹主连 (RBL8),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
      时间,    开盘,    最高,    最低,    收盘,         成交量,EXPMA1.EXP0  ,EXPMA1.EXP1  ,EXPMA1.EXP2  ,EXPMA1.EXP3  ,EXPMA1.EXP4  ,EXPMA1.      ,EXPMA1.      ,EXPMA1.      ,EXPMA1.      ,EXPMA1.      ,EXPMA1.      ,EXPMA1.      ,EXPMA1.      ,EXPMA1.      , VOL1.VOLUME, VOL1.MAVOL1, VOL1.MAVOL2, VOL1.MAVOL3, VOL1.LB    , VOL1.FZFL  , VOL1.分布  , VOL1.      , VOL1.      , VOL1.      , VOL1.      , VOL1.      ,LH_RQ.REDIAN,LH_RQ.GWANG ,LH_RQ.FL    ,LH_RQ.SL    ,LH_RQ.NORMAL,LH_DKCD.多头长度_S,LH_DKCD.多头长度,LH_DKCD.多头长度_L,LH_DKCD.空头长度_S,LH_DKCD.空头长度,LH_DKCD.空头长度_L,LH_KL.多头  ,LH_KL.空头  ,LH_KL.靠拢  ,TTEST.多头  ,TTEST.空头  ,LH_KT.空进攻,LH_KT.空调整,LH_KT.空中继34,LH_KT.空中继23,LH_KT.空中继12,LH_KT.抽MA4 ,LH_KT.抽MA3 ,LH_KT.抽MA2 ,LH_KT.抽MA1 ,LH_KT.超买  ,LH_KT.超买L ,LH_KT.反弹初,LH_KT.反弹中,LH_BSP.LABEL_BSP,LH_BSP.弱势  ,LH_DF_SLP.DF01  ,LH_DF_SLP.DF12  ,LH_DF_SLP.DF23  ,LH_DF_SLP.DF34  ,LH_DF_SLP.SLP0  ,LH_DF_SLP.SLP1  ,LH_DF_SLP.SLP2  ,LH_DF_SLP.SLP3  ,LH_DF_SLP.SLP4  ,LH_DF_SLP.MS0   ,LH_DF_SLP.MS1   ,LH_DF_SLP.MS2   ,LH_DF_SLP.MS3   ,LH_DF_SLP.MS0_HT,LH_ZDF.LS    ,LH_ZDF.US    ,LH_ZDF.MAB   ,LH_ZDF.ZFS   ,LH_ZDF.MA_US ,LH_ZDF.MA_LS ,LH_ZDF.LABEL_BSP,LH_ZDF.BIAS0 ,LH_ZDF.BIAS1 ,LH_ZDF.BIAS2 ,LH_ZDF.BIAS3 ,LH_ZDF.BIAS4 
 2022/11/04-10:10,3529,3532,3527,3531,16457,3528.95,3523.84,3518.66,3516.1,3512.93,0,0,0,0,0,0,0,0,0,16457,23751.5,           ,           ,           ,0,           ,0,0,0,0,0,           ,           ,           ,           ,0,           ,           ,           ,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,           ,           ,1.59,1.47,0.73,0.9,1000.15,1000.21,1000.18,1000.14,1000.09,1000.27,1000.28,1000.21,1000.16,1000.09,2,1,           ,           ,           ,           ,           ,0.44,2.03,3.51,4.24,5.14
 2022/11/04-10:15,3530,3534,3528,3532,14145,3529.56,3524.62,3519.31,3516.62,3513.25,0,0,0,0,0,0,0,0,0,14145,23763.2,           ,           ,           ,0,           ,0,0,0,0,0,           ,           ,           ,           ,0,           ,           ,           ,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,           ,           ,1.53,1.51,0.76,0.96,1000.17,1000.22,1000.18,1000.15,1000.09,1000.19,1000.24,1000.19,1000.15,1000.16,2,2,3.2,0.63,1.95,2.2,           ,0.56,2.09,3.61,4.37,5.34
 2022/11/04-10:35,3531,3540,3530,3535,35765,3530.65,3525.61,3520.08,3517.22,3513.61,0,0,0,0,0,0,0,0,0,35765,25580.8,           ,           ,           ,0,           ,0,0,0,0,0,           ,           ,           ,           ,0,           ,           ,           ,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,           ,           ,1.57,1.57,0.81,1.03,1000.31,1000.28,1000.22,1000.17,1000.1,1000.17,1000.22,1000.19,1000.15,1000.24,1,5,3.35,1.19,2.05,2.2,           ,1.1,2.66,4.24,5.05,6.09
 2022/11/04-10:40,3534,3545,3532,3543,37729,3533.12,3527.26,3521.19,3518.07,3514.09,1,0,1,0,0,0,0,0,0,37729,23801.7,           ,           ,           ,0,           ,0,0,0,0,0,           ,           ,           ,           ,0,           ,           ,           ,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,           ,           ,1.85,1.73,0.89,1.13,1000.7,1000.47,1000.32,1000.24,1000.14,1000.33,1000.3,1000.22,1000.18,1000.5,2,2,3.45,2.61,2.15,2.3,           ,2.61,4.46,6.19,7.09,8.23
 2022/11/04-10:45,3543,3548,3540,3544,46935,3535.29,3528.86,3522.31,3518.92,3514.59,0,0,0,0,0,0,0,0,0,46935,25819.9,           ,           ,           ,0,           ,0,0,0,0,0,           ,           ,           ,           ,0,           ,           ,           ,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,           ,           ,2.04,1.86,0.96,1.23,1000.62,1000.45,1000.32,1000.24,1000.14,1000.45,1000.36,1000.26,1000.2,1000.66,3,4,3.45,0.29,2.3,2.3,           ,2.25,4.29,6.16,7.13,8.37
 2022/11/04-10:50,3545,3545,3538,3542,27853,3536.64,3530.11,3523.27,3519.68,3515.04,0,0,0,0,0,0,0,0,0,27853,26795.9,           ,           ,           ,0,           ,0,0,0,0,0,           ,           ,           ,           ,0,           ,           ,           ,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,           ,           ,2.06,1.94,1.02,1.32,1000.38,1000.35,1000.27,1000.22,1000.13,1000.5,1000.39,1000.28,1000.22,1000.5,4,0,3.5,0.86,2.2,2.4,           ,1.31,3.37,5.32,6.34,7.67
 2022/11/04-10:55,3541,3543,3536,3536,17858,3536.51,3530.67,3523.89,3520.21,3515.39,0,0,0,0,0,0,0,0,0,17858,26957.2,           ,           ,           ,0,           ,0,0,0,0,0,           ,           ,           ,           ,0,           ,           ,           ,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,           ,           ,1.81,1.93,1.04,1.37,999.96,1000.16,1000.18,1000.15,1000.1,1000.41,1000.36,1000.27,1000.21,1000.17,0,2,3.45,1.45,2.25,2.4,           ,-0.3,1.51,3.44,4.49,5.86
 2022/11/04-11:00,3536,3541,3532,3537,25828,3536.61,3531.27,3524.53,3520.76,3515.75,0,0,0,0,0,0,0,0,0,25828,27295.8,           ,           ,           ,0,           ,0,0,0,0,0,           ,           ,           ,           ,0,           ,           ,           ,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,           ,           ,1.64,1.92,1.07,1.42,1000.03,1000.17,1000.18,1000.16,1000.1,1000.25,1000.28,1000.24,1000.19,1000,4,4,3.5,0.29,2.2,2.5,           ,-0.01,1.62,3.54,4.61,6.05
 2022/11/04-11:05,3538,3544,3536,3542,18526,3537.69,3532.29,3525.38,3521.46,3516.18,0,0,0,0,0,0,0,0,0,18526,26610.8,           ,           ,           ,0,           ,0,0,0,0,0,           ,           ,           ,           ,0,           ,           ,           ,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,           ,           ,1.66,1.96,1.11,1.5,1000.3,1000.29,1000.24,1000.2,1000.12,1000.17,1000.24,1000.22,1000.18,1000.17,2,2,3.3,1.21,2.3,2.6,           ,1.09,2.75,4.71,5.83,7.34
 2022/11/04-11:10,3543,3548,3542,3548,26171,3539.75,3533.79,3526.48,3522.33,3516.71,0,0,0,0,0,0,0,0,0,26171,26726.7,           ,           ,           ,0,           ,0,0,0,0,0,           ,           ,           ,           ,0,           ,           ,           ,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,           ,           ,1.86,2.07,1.18,1.6,1000.58,1000.42,1000.31,1000.25,1000.15,1000.22,1000.26,1000.23,1000.19,1000.44,1,0,3.25,1.54,2.1,2.6,           ,2.16,4.02,6.1,7.29,8.9
 2022/11/04-11:15,3548,3555,3546,3553,57723,3542.4,3535.62,3527.78,3523.33,3517.3,0,0,0,0,0,0,0,0,0,57723,30853.3,           ,           ,           ,0,           ,0,0,0,0,0,           ,           ,           ,           ,0,           ,           ,           ,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,           ,           ,2.14,2.23,1.26,1.71,1000.75,1000.52,1000.37,1000.29,1000.17,1000.42,1000.35,1000.28,1000.22,1000.67,2,2,3.3,1.52,2.15,2.4,           ,2.78,4.92,7.15,8.42,10.15
 2022/11/04-11:20,3554,3554,3547,3548,25687,3543.52,3536.8,3528.76,3524.14,3517.81,0,0,0,0,0,0,0,0,0,25687,32007.5,           ,           ,           ,0,           ,0,0,0,0,0,           ,           ,           ,           ,0,           ,           ,           ,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,           ,           ,2.11,2.28,1.31,1.8,1000.32,1000.33,1000.28,1000.23,1000.14,1000.49,1000.39,1000.3,1000.24,1000.53,1,0,3.5,1.71,2,2.35,           ,1.06,3.17,5.45,6.77,8.58
 2022/11/04-11:25,3548,3552,3545,3549,21150,3544.62,3537.96,3529.75,3524.96,3518.33,0,0,0,0,0,0,0,0,0,21150,30546,           ,           ,           ,0,           ,0,0,0,0,0,           ,           ,           ,           ,0,           ,           ,           ,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,           ,           ,2.08,2.33,1.36,1.88,1000.31,1000.33,1000.28,1000.23,1000.15,1000.49,1000.4,1000.31,1000.25,1000.31,3,3,3.2,0.31,2.1,2.45,           ,1.05,3.12,5.45,6.82,8.72
 2022/11/04-11:30,3548,3556,3545,3556,30144,3546.89,3539.68,3531.03,3525.97,3518.95,1,0,0,0,0,0,0,0,0,30144,29787.5,           ,           ,           ,0,           ,0,0,0,0,0,           ,           ,           ,           ,0,           ,           ,           ,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,           ,           ,2.27,2.45,1.43,1.99,1000.64,1000.49,1000.36,1000.29,1000.18,1000.5,1000.42,1000.32,1000.26,1000.48,3,0,3.6,2.22,1.8,2.6,           ,2.35,4.61,7.07,8.52,10.53
 2022/11/04-13:35,3564,3574,3561,3571,130363,3551.71,3542.66,3532.98,3527.45,3519.81,1,0,1,1,0,0,0,0,0,130363,38130.3,           ,           ,           ,0,           ,0,0,0,0,0,           ,           ,           ,           ,0,           ,           ,           ,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,           ,           ,2.89,2.74,1.57,2.17,1001.36,1000.84,1000.55,1000.42,1000.24,1000.66,1000.5,1000.37,1000.29,1001,3,3,3.85,1.82,1.8,2.6,           ,5.11,8,10.76,12.35,14.54
 2022/11/04-13:40,3570,3573,3567,3573,33428,3555.97,3545.55,3534.93,3528.94,3520.69,0,0,0,0,0,0,0,0,0,33428,38687.8,           ,           ,           ,0,           ,0,0,0,0,0,           ,           ,           ,           ,0,           ,           ,           ,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,           ,           ,3.34,3.01,1.7,2.34,1001.2,1000.82,1000.55,1000.42,1000.25,1000.88,1000.62,1000.44,1000.34,1001.28,3,0,3.85,0.78,1.75,2.65,           ,4.4,7.74,10.77,12.48,14.86
 2022/11/04-13:45,3572,3574,3565,3569,32185,3558.58,3547.78,3536.6,3530.26,3521.49,0,0,0,0,0,0,0,0,0,32185,40120.5,           ,           ,           ,0,           ,0,0,0,0,0,           ,           ,           ,           ,0,           ,           ,           ,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,           ,           ,3.44,3.17,1.8,2.48,1000.73,1000.63,1000.47,1000.37,1000.23,1000.98,1000.69,1000.48,1000.38,1000.97,4,2,3.75,0.8,1.8,2.75,           ,2.55,5.98,9.16,10.97,13.49
 2022/11/04-13:50,3569,3573,3566,3570,23213,3560.86,3549.9,3538.22,3531.56,3522.29,0,0,0,0,0,0,0,0,0,23213,39859,           ,           ,           ,0,           ,0,0,0,0,0,           ,           ,           ,           ,0,           ,           ,           ,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,           ,           ,3.47,3.31,1.89,2.63,1000.64,1000.6,1000.46,1000.37,1000.23,1000.98,1000.72,1000.51,1000.4,1000.69,3,3,3.7,0.27,1.9,2.8,           ,2.2,5.66,8.98,10.88,13.55
 2022/11/04-13:55,3570,3572,3565,3566,16514,3561.89,3551.43,3539.58,3532.69,3523.01,0,0,0,0,0,0,0,0,0,16514,39657.8,           ,           ,           ,0,           ,0,0,0,0,0,           ,           ,           ,           ,0,           ,           ,           ,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,           ,           ,3.28,3.36,1.95,2.74,1000.29,1000.43,1000.38,1000.32,1000.21,1000.72,1000.62,1000.47,1000.37,1000.47,1,2,3.9,1.03,1.95,2.45,           ,0.84,4.1,7.46,9.43,12.2
 2022/11/04-14:00,3567,3573,3567,3572,20204,3563.91,3553.39,3541.16,3533.98,3523.82,0,0,0,0,0,0,0,0,0,20204,39061.1,           ,           ,           ,0,           ,0,0,0,0,0,           ,           ,           ,           ,0,           ,           ,           ,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,           ,           ,3.29,3.46,2.03,2.87,1000.57,1000.55,1000.45,1000.36,1000.23,1000.56,1000.55,1000.44,1000.36,1000.43,0,1,3.95,1.27,1.9,2.2,           ,1.96,5.24,8.71,10.76,13.67
 2022/11/04-14:05,3571,3579,3570,3579,34340,3566.93,3555.83,3543.01,3535.45,3524.73,0,0,0,0,0,0,0,0,0,34340,36722.8,           ,           ,           ,0,           ,0,0,0,0,0,           ,           ,           ,           ,0,           ,           ,           ,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,           ,           ,3.48,3.63,2.14,3.03,1000.85,1000.69,1000.52,1000.42,1000.26,1000.59,1000.57,1000.45,1000.37,1000.71,1,0,4.25,1.88,1.85,2.15,           ,3.05,6.52,10.16,12.32,15.4
 2022/11/04-14:10,3578,3582,3573,3575,34895,3568.54,3557.66,3544.57,3536.75,3525.57,0,0,0,0,0,0,0,0,0,34895,37643.6,29261.28,           ,           ,0,           ,0,0,0,0,0,           ,           ,           ,           ,0,           ,           ,           ,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,           ,           ,3.39,3.7,2.21,3.16,1000.45,1000.51,1000.44,1000.37,1000.24,1000.54,1000.55,1000.45,1000.37,1000.65,2,4,4.3,0.7,1.95,2.15,           ,1.5,4.87,8.59,10.81,14.02
