time,open,high,low,close,amount,ma0,ma1,ma2,ma3,ma4,volume,mavol1,mavol2,mavol3,VOL1.LB,VOL1.FZFL,VOL1.分布,VOL1.,VOL1.,VOL1.,VOL1.,VOL1.,LH_RQ.REDIAN,LH_RQ.GWANG,LH_RQ.FL,LH_RQ.SL,LH_RQ.NORMAL,LH_DKCD.多头长度_S,LH_DKCD.多头长度,LH_DKCD.多头长度_L,LH_DKCD.空头长度_S,LH_DKCD.空头长度,LH_DKCD.空头长度_L,LH_KL.多头,LH_KL.空头,LH_KL.靠拢,LH_KT.空进攻,LH_KT.空调整,LH_KT.空中继34,LH_KT.空中继23,LH_KT.空中继12,LH_KT.抽MA4,LH_KT.抽MA3,LH_KT.抽MA2,LH_KT.抽MA1,LH_KT.超买,LH_KT.超买L,LH_KT.反弹初,LH_KT.反弹中,LH_BSP.LABEL_BSP,LH_BSP.弱势,DF01,DF12,DF23,DF34,SLP0,SLP1,SLP2,SLP3,SLP4,MS0,MS1,MS2,MS3,MS0_HT,LH_ZDF.LS,LH_ZDF.US,LH_ZDF.MAB,LH_ZDF.ZFS,LH_ZDF.MA_US,LH_ZDF.MA_LS,LH_ZDF.LABEL_BSP,LH_ZDF.BIAS0,LH_ZDF.BIAS1,LH_ZDF.BIAS2,LH_ZDF.BIAS3,LH_ZDF.BIAS4,LH_SIGNAL.B,LH_SIGNAL.S
2022/10/11-09:20,3829,3838,3828,3836,20143,3841.12,3850.37,3856.53,3859.35,3862.77,20143,25769.4,,,,0,,0,0,0,0,0,,,,,0,0,0,0,,,,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,,-2.4,-1.6,-0.73,-0.89,999.59,999.61,999.73,999.79,999.88,999.17,999.46,999.67,999.76,999.35,1,2,3.55,1.97,1.65,1.6,,-1.33,-3.73,-5.32,-6.05,-6.93,0,0
2022/10/11-09:25,3836,3837,3824,3824,25422,3837.31,3847.86,3854.95,3858.19,3862.13,25422,26671.1,,,,0,,0,0,0,0,0,,,,,0,0,0,0,,,,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,,-2.73,-1.84,-0.84,-1.02,999.05,999.35,999.59,999.7,999.83,999.21,999.44,999.65,999.75,999.32,0,1,4.05,2.96,1.7,1.55,,-3.47,-6.2,-8.03,-8.86,-9.87,0,0
2022/10/11-09:30,3824,3825,3818,3820,40250,3833.47,3845.2,3853.24,3856.94,3861.43,40250,28483.4,,,,0,,0,0,0,0,0,,,,,0,0,0,0,,,,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,,-3.04,-2.08,-0.96,-1.16,999.03,999.31,999.56,999.68,999.82,999.19,999.42,999.63,999.73,999.04,2,1,4.15,0.96,1.75,1.35,,-3.51,-6.55,-8.63,-9.58,-10.73,0,0
2022/10/11-09:35,3819,3828,3818,3825,30165,3831.58,3843.28,3851.86,3855.89,3860.83,30165,29691.2,,,,0,,0,0,0,0,0,,,,,0,0,0,0,,,,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,-3.03,-2.23,-1.05,-1.28,999.48,999.5,999.64,999.73,999.84,999.29,999.44,999.63,999.72,999.26,1,3,4.35,1.38,1.85,1.4,,-1.72,-4.76,-6.97,-8.01,-9.28,0,0
2022/10/11-09:40,3826,3826,3820,3821,15344,3829.23,3841.16,3850.36,3854.75,3860.17,15344,29366.1,,,,0,,0,0,0,0,0,,,,,0,0,0,0,,,,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,-3.09,-2.39,-1.14,-1.41,999.38,999.45,999.61,999.7,999.83,999.24,999.4,999.6,999.7,999.43,1,0,4.45,1.12,1.7,1.4,,-2.15,-5.25,-7.62,-8.76,-10.15,0,0
2022/10/11-09:45,3821,3825,3818,3823,22087,3827.85,3839.43,3849.02,3853.71,3859.56,22087,30973.3,,,,0,,0,0,0,0,0,,,,,0,0,0,0,,,,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,-3,-2.49,-1.22,-1.52,999.61,999.55,999.65,999.73,999.84,999.38,999.45,999.62,999.71,999.49,3,2,4.35,0.46,1.7,1.5,,-1.27,-4.28,-6.76,-7.97,-9.47,0,0
2022/10/11-09:50,3824,3828,3821,3826,16302,3827.44,3838.15,3847.9,3852.8,3859,16302,30765.3,,,,0,,0,0,0,0,0,,,,,0,0,0,0,,,,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,-2.78,-2.53,-1.27,-1.61,999.84,999.67,999.71,999.76,999.86,999.58,999.54,999.65,999.73,999.72,3,2,4.2,0.48,1.75,1.65,,-0.38,-3.17,-5.69,-6.96,-8.55,0,0
2022/10/11-09:55,3825,3831,3823,3827,15339,3827.34,3837.09,3846.88,3851.96,3858.47,15339,25441.4,,,,0,,0,0,0,0,0,,,,,0,0,0,0,,,,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,-2.53,-2.54,-1.32,-1.69,999.93,999.72,999.74,999.78,999.86,999.69,999.6,999.68,999.74,999.88,2,4,4.15,0.48,1.95,1.7,,-0.09,-2.63,-5.17,-6.48,-8.16,0,0
2022/10/11-10:00,3827,3833,3825,3828,20429,3827.49,3836.22,3845.96,3851.17,3857.97,20429,23922.1,,,,0,,0,0,0,0,0,,,,,0,0,0,0,,,,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,-2.27,-2.53,-1.35,-1.77,999.99,999.77,999.76,999.8,999.87,999.84,999.68,999.71,999.77,999.96,2,5,4.15,0.24,2.2,1.7,,0.13,-2.14,-4.67,-6.02,-7.77,0,0
2022/10/11-10:05,3827,3832,3827,3829,10534,3827.82,3835.53,3845.13,3850.44,3857.49,10534,21601.5,,,,0,,0,0,0,0,0,,,,,0,0,0,0,,,,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,-2,-2.49,-1.38,-1.83,1000.05,999.82,999.78,999.81,999.88,999.95,999.75,999.75,999.79,1000.02,0,3,4.25,0.47,2.3,1.65,,0.31,-1.7,-4.2,-5.57,-7.39,0,0
2022/10/11-10:10,3830,3834,3829,3831,9775,3828.53,3835.1,3844.44,3849.81,3857.05,9775,20564.7,,,,0,,0,0,0,0,0,,,,,0,0,0,0,,,,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,-1.71,-2.43,-1.39,-1.88,1000.14,999.89,999.82,999.83,999.89,1000.03,999.8,999.78,999.81,1000.09,1,3,4.05,0.25,2.45,1.65,,0.65,-1.07,-3.5,-4.88,-6.75,0,0
2022/10/11-10:15,3830,3834,3825,3825,12338,3827.74,3834.14,3843.49,3848.99,3856.52,12338,19256.3,,,,0,,0,0,0,0,0,,,,,0,0,0,0,,,,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,-1.66,-2.43,-1.43,-1.96,999.8,999.75,999.75,999.79,999.86,1000,999.81,999.78,999.81,999.97,0,4,4.3,1.16,2.6,1.45,,-0.72,-2.38,-4.81,-6.23,-8.17,0,1
2022/10/11-10:35,3826,3830,3823,3829,17683,3828.02,3833.65,3842.79,3848.34,3856.07,17683,16999.6,,,,0,,0,0,0,0,0,,,,,0,0,0,0,,,,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,-1.46,-2.37,-1.44,-2.01,1000.05,999.87,999.82,999.83,999.88,1000.01,999.83,999.79,999.82,999.92,3,1,4.15,0.72,2.6,1.55,,0.25,-1.21,-3.59,-5.02,-7.02,0,0
2022/10/11-10:40,3829,3833,3825,3832,10221,3828.91,3833.49,3842.26,3847.8,3855.67,10221,15005.2,19915.85,,,0,,0,0,0,0,0,,,,,0,0,0,0,,,,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,,-1.19,-2.28,-1.44,-2.05,1000.2,999.96,999.86,999.86,999.9,1000.05,999.87,999.81,999.83,1000.12,4,1,4.25,0.71,2.55,1.75,,0.81,-0.39,-2.67,-4.11,-6.14,0,0
2022/10/11-10:45,3832,3833,3829,3829,8280,3828.93,3833.06,3841.61,3847.18,3855.23,8280,14298.8,18766.72,,,0,,0,0,0,0,0,,,,,0,0,0,0,,,,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,-1.08,-2.22,-1.45,-2.09,1000,999.89,999.83,999.84,999.89,1000.01,999.87,999.82,999.83,1000.1,0,1,4.1,0.73,2.6,1.6,,0.02,-1.06,-3.28,-4.73,-6.8,0,0
2022/10/11-10:50,3830,3830,3825,3828,5903,3828.72,3832.58,3840.95,3846.56,3854.78,5903,12680.4,18072.97,,,0,,0,0,0,0,0,,,,,0,0,0,0,,,,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,-1,-2.18,-1.46,-2.14,999.95,999.87,999.83,999.84,999.88,1000.05,999.9,999.83,999.84,999.97,3,0,4.1,0.49,2.55,1.7,,-0.19,-1.2,-3.37,-4.82,-6.95,0,0
2022/10/11-10:55,3828,3830,3823,3825,9003,3827.89,3831.86,3840.17,3845.85,3854.29,9003,11950.5,17279.2,,,0,,0,0,0,0,0,,,,,0,0,0,0,,,,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,-1.03,-2.16,-1.48,-2.19,999.8,999.81,999.8,999.82,999.87,999.99,999.88,999.83,999.84,999.87,2,2,3.85,0.78,2.6,1.75,,-0.76,-1.79,-3.95,-5.42,-7.6,0,0
2022/10/11-11:00,3824,3826,3821,3822,11563,3826.58,3830.92,3839.29,3845.07,3853.75,11563,11572.9,16965.8,,,0,,0,0,0,0,0,,,,,0,0,0,0,,,,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,-1.13,-2.18,-1.5,-2.26,999.68,999.75,999.77,999.8,999.86,999.86,999.83,999.81,999.82,999.74,1,2,3.4,0.59,2.4,1.7,,-1.2,-2.33,-4.5,-6,-8.24,0,0
2022/10/11-11:05,3822,3824,3812,3812,40733,3823.34,3829.12,3837.96,3843.98,3853.06,40733,13603.3,17614.93,,,0,,0,0,0,0,0,,,,,0,0,0,0,,,,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,-1.5,-2.3,-1.57,-2.36,999.22,999.53,999.65,999.72,999.82,999.66,999.74,999.76,999.79,999.45,0,2,3.9,2.56,2.05,1.6,,-2.97,-4.47,-6.76,-8.32,-10.66,0,0
2022/10/11-11:10,3812,3813,3804,3809,48881,3820.16,3827.2,3836.54,3842.84,3852.34,48881,17438,18446.88,,,0,,0,0,0,0,0,,,,,0,0,0,0,,,,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,-1.83,-2.43,-1.64,-2.47,999.22,999.5,999.63,999.7,999.81,999.48,999.65,999.71,999.76,999.22,5,1,3.9,0.77,2,1.7,,-2.92,-4.76,-7.18,-8.8,-11.25,0,0
2022/10/11-11:15,3809,3811,3803,3804,26745,3816.57,3824.99,3834.96,3841.56,3851.54,26745,19135,18853.07,,,0,,0,0,0,0,0,,,,,0,0,0,0,,,,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,-2.19,-2.59,-1.72,-2.6,999.12,999.42,999.59,999.67,999.79,999.31,999.55,999.66,999.72,999.17,1,2,3.8,1.32,2,1.7,,-3.29,-5.49,-8.07,-9.78,-12.34,0,0
2022/10/11-11:20,3804,3808,3800,3801,42222,3813.11,3822.71,3833.3,3840.23,3850.7,42222,22123.4,19690.6,,,0,,0,0,0,0,0,,,,,0,0,0,0,,,,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,-2.5,-2.76,-1.81,-2.73,999.13,999.4,999.57,999.65,999.78,999.17,999.46,999.61,999.69,999.13,1,4,3.35,0.9,2.15,1.75,,-3.18,-5.68,-8.43,-10.22,-12.91,0,0
2022/10/11-11:25,3801,3808,3799,3805,24875,3811.31,3821.02,3831.92,3839.08,3849.95,24875,22842.6,19640.28,,,0,,0,0,0,0,0,,,,,0,0,0,0,,,,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,-2.53,-2.84,-1.86,-2.83,999.52,999.56,999.64,999.7,999.8,999.25,999.47,999.61,999.68,999.33,2,3,3.35,1.19,2.25,1.75,,-1.65,-4.19,-7.02,-8.88,-11.67,0,0
2022/10/11-11:30,3804,3810,3799,3808,28728,3810.57,3819.78,3830.75,3838.06,3849.25,28728,24693.3,20165.53,,,0,,0,0,0,0,0,,,,,0,0,0,0,,,,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,-2.4,-2.86,-1.9,-2.92,999.77,999.68,999.7,999.73,999.82,999.38,999.51,999.62,999.69,999.64,5,2,3.25,1.23,2.2,1.95,,-0.67,-3.08,-5.94,-7.83,-10.72,0,0
2022/10/11-13:35,3806,3806,3791,3798,58356,3807.78,3817.71,3829.15,3836.74,3848.41,58356,29700.9,21354.05,,,0,,0,0,0,0,0,,,,,0,0,0,0,,,,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,-2.59,-2.98,-1.98,-3.04,999.29,999.46,999.58,999.66,999.78,999.43,999.52,999.62,999.69,999.53,7,0,3.4,2.35,2.2,2.25,,-2.57,-5.16,-8.14,-10.1,-13.1,0,0
2022/10/11-13:40,3798,3799,3792,3793,22548,3804.49,3815.35,3827.39,3835.31,3847.49,22548,31365.4,21503.47,,,0,,0,0,0,0,0,,,,,0,0,0,0,,,,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,-2.83,-3.14,-2.07,-3.18,999.17,999.38,999.54,999.63,999.76,999.44,999.52,999.61,999.68,999.23,1,1,3.55,1.41,2.15,2.15,,-3.02,-5.86,-8.99,-11.03,-14.16,0,0
2022/10/11-13:45,3792,3799,3792,3797,25622,3802.83,3813.61,3825.91,3834.05,3846.66,25622,33027.3,21961.22,,,0,,0,0,0,0,0,,,,,0,0,0,0,,,,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,-2.81,-3.21,-2.12,-3.29,999.55,999.54,999.61,999.67,999.78,999.44,999.51,999.61,999.67,999.36,0,2,3.7,1.35,2.15,2,,-1.53,-4.35,-7.56,-9.66,-12.91,0,0
2022/10/11-13:50,3796,3798,3793,3795,15229,3801.09,3811.83,3824.4,3832.77,3845.8,15229,33393.9,22209.22,,,0,,0,0,0,0,0,,,,,0,0,0,0,,,,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,-2.8,-3.28,-2.18,-3.4,999.53,999.54,999.61,999.67,999.78,999.39,999.48,999.59,999.66,999.54,2,2,3.65,0.27,2.05,2,,-1.6,-4.42,-7.69,-9.86,-13.21,0,0
2022/10/11-13:55,3794,3797,3791,3793,16361,3799.29,3810.04,3822.87,3831.47,3844.93,16361,30956.7,22518.55,,,0,,0,0,0,0,0,,,,,0,0,0,0,,,,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,-2.81,-3.35,-2.24,-3.51,999.52,999.53,999.6,999.66,999.77,999.44,999.5,999.59,999.66,999.53,2,3,3.65,0.27,1.95,2,,-1.66,-4.47,-7.81,-10.04,-13.51,0,0
