      时间,    开盘,    最高,    最低,    收盘,         成交量,LH_MAS.MA0   ,LH_MAS.M5_1  ,LH_MAS.M5_2  ,LH_MAS.M5_3  ,LH_MAS.M15_1 , VOL1.VOLUME, VOL1.MAVOL1, VOL1.MAVOL2, VOL1.MAVOL3, VOL1.LB    , VOL1.FZFL  , VOL1.分布  , VOL1.      , VOL1.      , VOL1.      , VOL1.      , VOL1.      ,LH_RQ.REDIAN,LH_RQ.GWANG ,LH_RQ.FL    ,LH_RQ.SL    ,LH_RQ.NORMAL,LH_DKCD.多头长度_S,LH_DKCD.多头长度,LH_DKCD.多头长度_L,LH_DKCD.空头长度_S,LH_DKCD.空头长度,LH_DKCD.空头长度_L,LH_SIGNAL.B     ,LH_SIGNAL.S     ,LH_KL.多头  ,LH_KL.空头  ,LH_KL.靠拢  ,LH_KT.空进攻,LH_KT.空调整,LH_KT.空中继34,LH_KT.空中继23,LH_KT.空中继12,LH_KT.抽MA4 ,LH_KT.抽MA3 ,LH_KT.抽MA2 ,LH_KT.抽MA1 ,LH_KT.超买  ,LH_KT.超买L ,LH_KT.反弹初,LH_KT.反弹中,LH_BSP.LABEL_BSP,LH_BSP.弱势  ,LH_DF_SLP.DF01  ,LH_DF_SLP.DF12  ,LH_DF_SLP.DF23  ,LH_DF_SLP.DF34  ,LH_DF_SLP.SLP0  ,LH_DF_SLP.SLP1  ,LH_DF_SLP.SLP2  ,LH_DF_SLP.SLP3  ,LH_DF_SLP.SLP4  ,LH_DF_SLP.MS0   ,LH_DF_SLP.MS1   ,LH_DF_SLP.MS2   ,LH_DF_SLP.MS3   ,LH_DF_SLP.MS0_HT,  VOL.VOLUME,  VOL.MAVOL1,  VOL.MAVOL2
 2022/07/22-11:15,3720,3727,3719,3723,1879,3719.15,3721.32,3722.87,3723.51,3724.22,1879,3932.9,           ,           ,           ,0,           ,0,0,0,0,0,           ,           ,           ,           ,0,0,0,0,6,6,6,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,           ,           ,-0.58,-0.42,-0.17,-0.19,1000.25,1000.05,1000,1000,999.99,999.86,999.86,999.91,999.93,1000.21,1879,2140.2,3932.9
 2022/07/22-11:20,3723,3726,3706,3707,2803,3716.45,3719.95,3722.09,3722.97,3723.93,2803,3577,           ,           ,           ,0,           ,0,0,0,0,0,           ,           ,           ,           ,0,0,0,0,7,7,7,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,           ,           ,-0.94,-0.57,-0.23,-0.26,999.34,999.63,999.79,999.85,999.92,999.86,999.86,999.91,999.93,999.79,2803,2285.4,3577
 2022/07/22-11:25,3707,3711,3702,3706,2669,3714.13,3718.62,3721.31,3722.41,3723.64,2669,2987.1,           ,           ,           ,0,           ,0,0,0,0,0,           ,           ,           ,           ,0,0,0,0,8,8,8,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,           ,           ,-1.21,-0.72,-0.3,-0.33,999.41,999.64,999.79,999.85,999.92,999.79,999.83,999.89,999.92,999.38,2669,2266.6,2987.1
 2022/07/22-11:30,3705,3712,3704,3712,1588,3713.66,3717.99,3720.85,3722.07,3723.45,1588,2518.5,           ,           ,           ,0,           ,0,0,0,0,0,           ,           ,           ,           ,0,0,0,0,9,9,9,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,           ,           ,-1.17,-0.77,-0.33,-0.37,999.85,999.83,999.88,999.91,999.95,999.71,999.79,999.87,999.9,999.63,1588,2250,2518.5
 2022/07/22-13:35,3710,3718,3703,3709,2890,3712.62,3717.14,3720.28,3721.64,3723.21,2890,2433.4,           ,           ,           ,0,           ,0,0,0,0,0,           ,           ,           ,           ,0,0,0,0,10,10,10,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,           ,           ,-1.21,-0.84,-0.37,-0.42,999.72,999.77,999.84,999.88,999.94,999.58,999.72,999.83,999.87,999.79,2890,2365.8,2433.4
 2022/07/22-13:40,3708,3716,3702,3712,1816,3712.48,3716.65,3719.87,3721.33,3723.02,1816,2246.7,           ,           ,           ,0,           ,0,0,0,0,0,           ,           ,           ,           ,0,0,0,0,11,11,11,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,           ,           ,-1.12,-0.87,-0.39,-0.46,999.94,999.87,999.89,999.92,999.95,999.73,999.78,999.85,999.89,999.83,1816,2353.2,2246.7
 2022/07/22-13:45,3712,3720,3710,3715,1329,3713.04,3716.49,3719.63,3721.12,3722.89,1329,2171.9,           ,           ,           ,0,           ,0,0,0,0,0,           ,           ,           ,           ,0,0,0,0,12,12,12,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,           ,           ,-0.93,-0.84,-0.4,-0.48,1000.11,999.96,999.94,999.94,999.96,999.91,999.86,999.89,999.91,1000.03,1329,2058.4,2171.9
 2022/07/22-13:50,3716,3716,3706,3709,1348,3712.14,3715.78,3719.12,3720.72,3722.66,1348,2030.4,           ,           ,           ,0,           ,0,0,0,0,0,           ,           ,           ,           ,0,0,0,0,13,13,13,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,           ,           ,-0.98,-0.9,-0.43,-0.52,999.77,999.81,999.86,999.89,999.94,999.89,999.85,999.88,999.91,999.94,1348,1794.2,2030.4
 2022/07/22-13:55,3710,3714,3704,3711,2096,3711.89,3715.32,3718.72,3720.4,3722.47,2096,2072.9,           ,           ,           ,0,           ,0,0,0,0,0,           ,           ,           ,           ,0,0,0,0,14,14,14,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,           ,           ,-0.92,-0.91,-0.45,-0.55,999.92,999.88,999.89,999.91,999.95,999.94,999.88,999.9,999.92,999.84,2096,1895.8,2072.9
 2022/07/22-14:00,3711,3720,3710,3716,3590,3712.8,3715.39,3718.59,3720.26,3722.36,3590,2200.8,           ,           ,           ,0,           ,0,0,0,0,0,           ,           ,           ,           ,0,0,0,0,15,15,15,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,           ,           ,-0.69,-0.86,-0.45,-0.57,1000.21,1000.02,999.96,999.96,999.97,1000,999.92,999.91,999.93,1000.06,3590,2035.8,2200.8
 2022/07/22-14:05,3716,3726,3715,3719,3470,3714.18,3715.73,3718.61,3720.22,3722.3,3470,2359.9,           ,           ,           ,0,           ,0,0,0,0,0,           ,           ,           ,           ,0,0,0,0,16,16,16,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,           ,           ,-0.42,-0.77,-0.43,-0.56,1000.33,1000.09,1000.01,999.99,999.99,1000.06,999.95,999.93,999.94,1000.27,3470,2366.6,2359.9
 2022/07/22-14:10,3719,3723,3713,3716,2504,3714.58,3715.76,3718.48,3720.08,3722.2,2504,2330,           ,           ,           ,0,           ,0,0,0,0,0,           ,           ,           ,           ,0,0,0,0,17,17,17,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,           ,           ,-0.32,-0.73,-0.43,-0.57,1000.1,1000.01,999.97,999.96,999.97,1000.14,1000,999.96,999.96,1000.21,2504,2601.6,2330
 2022/07/22-14:15,3716,3725,3713,3723,1668,3716.45,3716.45,3718.7,3720.17,3722.21,1668,2229.9,           ,           ,           ,0,           ,0,0,0,0,0,           ,           ,           ,           ,0,0,0,0,0,18,18,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,           ,           ,0,-0.61,-0.4,-0.55,1000.46,1000.19,1000.06,1000.03,1000,1000.27,1000.08,1000,999.98,1000.28,1668,2665.6,2229.9
 2022/07/22-14:20,3723,3730,3722,3725,2186,3718.35,3717.26,3719.01,3720.33,3722.26,2186,2289.7,           ,           ,           ,0,           ,0,0,0,0,0,           ,           ,           ,           ,0,0,0,0,0,19,19,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,           ,           ,0.29,-0.47,-0.36,-0.52,1000.47,1000.22,1000.08,1000.04,1000.01,1000.34,1000.13,1000.03,1000.01,1000.46,2186,2683.6,2289.7
 2022/07/22-14:25,3726,3730,3722,3730,2636,3720.94,3718.47,3719.54,3720.65,3722.39,2636,2264.3,           ,           ,           ,0,           ,0,0,0,0,0,           ,           ,           ,           ,0,0,0,0,0,20,20,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,           ,           ,0.66,-0.29,-0.3,-0.47,1000.65,1000.33,1000.14,1000.09,1000.03,1000.42,1000.18,1000.06,1000.03,1000.56,2636,2492.8,2264.3
 2022/07/22-14:30,3730,3731,3723,3729,1546,3722.73,3719.48,3720.01,3720.92,3722.5,1546,2237.3,           ,           ,           ,0,           ,0,0,0,0,0,           ,           ,           ,           ,0,0,0,0,0,21,21,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,           ,           ,0.87,-0.14,-0.25,-0.42,1000.46,1000.27,1000.12,1000.07,1000.03,1000.51,1000.25,1000.1,1000.06,1000.56,1546,2108,2237.3
 2022/07/22-14:35,3728,3733,3723,3725,1539,3723.24,3720,3720.25,3721.06,3722.54,1539,2258.3,           ,           ,           ,0,           ,0,0,0,0,0,           ,           ,           ,           ,0,0,0,0,0,22,22,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,           ,           ,0.87,-0.07,-0.22,-0.4,1000.16,1000.14,1000.07,1000.04,1000.01,1000.43,1000.24,1000.1,1000.06,1000.31,1539,1915,2258.3
 2022/07/22-14:40,3725,3731,3725,3725,858,3723.63,3720.48,3720.48,3721.19,3722.58,858,2209.3,           ,           ,           ,0,           ,0,0,0,0,0,           ,           ,           ,           ,0,0,0,0,0,23,23,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,           ,           ,0.85,0,-0.19,-0.37,1000.12,1000.13,1000.06,1000.03,1000.01,1000.35,1000.22,1000.1,1000.06,1000.14,858,1753,2209.3
 2022/07/22-14:45,3726,3731,3716,3719,2059,3722.6,3720.34,3720.41,3721.11,3722.52,2059,2205.6,           ,           ,           ,0,           ,0,0,0,0,0,           ,           ,           ,           ,0,0,0,0,0,24,24,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,           ,           ,0.61,-0.02,-0.19,-0.38,999.78,999.96,999.98,999.98,999.98,1000.13,1000.13,1000.06,1000.03,999.95,2059,1727.6,2205.6
 2022/07/22-14:50,3720,3724,3717,3718,1898,3721.58,3720.12,3720.29,3721.01,3722.45,1898,2036.4,           ,           ,           ,0,           ,0,0,0,0,0,           ,           ,           ,           ,0,0,0,0,0,25,25,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,           ,           ,0.39,-0.05,-0.19,-0.39,999.77,999.94,999.97,999.97,999.98,999.96,1000.04,1000.02,1000.01,999.77,1898,1580,2036.4
 2022/07/22-14:55,3718,3719,3710,3718,2684,3720.78,3719.91,3720.18,3720.91,3722.37,2684,1957.8,           ,           ,           ,0,           ,0,0,0,0,0,           ,           ,           ,           ,0,0,0,0,0,26,26,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,           ,           ,0.23,-0.07,-0.2,-0.39,999.81,999.95,999.97,999.97,999.98,999.87,999.99,1000,999.99,999.79,2684,1807.6,1957.8
 2022/07/22-15:00,3718,3729,3717,3725,2137,3721.72,3720.4,3720.41,3721.05,3722.42,2137,1921.1,           ,           ,           ,0,           ,0,0,0,0,0,           ,           ,           ,           ,0,0,0,0,0,27,27,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,           ,           ,0.36,0,-0.17,-0.37,1000.23,1000.13,1000.06,1000.04,1000.01,999.9,999.99,1000,999.99,1000.02,2137,1927.2,1921.1
 2022/07/25-21:05,3751,3758,3736,3756,10767,3729.34,3723.79,3722.15,3722.19,3722.97,10767,2831,           ,           ,           ,0,           ,0,0,0,0,0,           ,           ,           ,           ,0,1,0,0,0,0,28,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,           ,           ,1.49,0.44,-0.01,-0.21,1001.85,1000.91,1000.47,1000.31,1000.15,1000.41,1000.23,1000.12,1000.07,1001.04,10767,3909,2831
 2022/07/25-21:10,3757,3762,3753,3755,6134,3735.04,3726.76,3723.75,3723.27,3723.5,6134,3225.8,           ,           ,           ,0,           ,0,0,0,0,0,           ,           ,           ,           ,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,           ,           ,2.22,0.81,0.13,-0.06,1001.42,1000.8,1000.43,1000.29,1000.14,1000.83,1000.45,1000.23,1000.15,1001.64,6134,4724,3225.8
 2022/07/25-21:15,3756,3758,3750,3756,4394,3739.7,3729.55,3725.33,3724.34,3724.04,4394,3401.6,           ,           ,           ,0,           ,0,0,0,0,0,           ,           ,           ,           ,0,3,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,           ,           ,2.73,1.13,0.26,0.08,1001.19,1000.75,1000.42,1000.29,1000.14,1001.17,1000.65,1000.35,1000.23,1001.31,4394,5223.2,3401.6
 2022/07/25-21:20,3757,3757,3744,3744,3034,3740.65,3730.92,3726.24,3724.99,3724.37,3034,3550.4,           ,           ,           ,0,           ,0,0,0,0,0,           ,           ,           ,           ,0,4,3,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,           ,           ,2.61,1.26,0.34,0.17,1000.31,1000.37,1000.24,1000.17,1000.09,1001.19,1000.71,1000.39,1000.26,1000.75,3034,5293.2,3550.4
 2022/07/25-21:25,3746,3753,3740,3744,2833,3741.4,3732.17,3727.1,3725.61,3724.69,2833,3679.8,           ,           ,           ,0,           ,0,0,0,0,0,           ,           ,           ,           ,0,5,4,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,           ,           ,2.48,1.36,0.4,0.25,1000.25,1000.33,1000.23,1000.17,1000.09,1000.79,1000.56,1000.33,1000.23,1000.28,2833,5432.4,3679.8
 2022/07/25-21:30,3745,3745,3734,3738,2585,3740.64,3732.72,3727.63,3726.02,3724.91,2585,3852.5,           ,           ,           ,0,           ,0,0,0,0,0,           ,           ,           ,           ,0,6,5,4,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,           ,           ,2.13,1.37,0.43,0.3,999.88,1000.15,1000.14,1000.11,1000.06,1000.41,1000.4,1000.26,1000.18,1000.06,2585,3796,3852.5
 2022/07/25-21:35,3739,3744,3736,3739,2524,3740.28,3733.32,3728.19,3726.44,3725.14,2524,3899,           ,           ,           ,0,           ,0,0,0,0,0,           ,           ,           ,           ,0,7,6,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,           ,           ,1.87,1.38,0.47,0.35,999.95,1000.16,1000.15,1000.11,1000.06,1000.1,1000.25,1000.19,1000.14,999.92,2524,3074,3899
 2022/07/25-21:40,3740,3749,3733,3747,1997,3741.77,3734.62,3729.11,3727.12,3725.51,1997,3908.9,3059.98,           ,           ,0,           ,0,0,0,0,0,           ,           ,           ,           ,0,8,7,6,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,           ,           ,1.92,1.48,0.53,0.43,1000.39,1000.35,1000.25,1000.18,1000.1,1000.12,1000.25,1000.19,1000.14,1000.17,1997,2594.6,3908.9
 2022/07/25-21:45,3748,3754,3743,3753,2684,3744.27,3736.37,3730.27,3727.97,3725.96,2684,3908.9,3039.88,           ,           ,0,           ,0,0,0,0,0,           ,           ,           ,           ,0,9,8,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,           ,           ,2.12,1.64,0.62,0.54,1000.63,1000.47,1000.31,1000.23,1000.12,1000.21,1000.28,1000.21,1000.16,1000.51,2684,2524.6,3908.9
 2022/07/25-21:50,3753,3756,3746,3751,1932,3745.76,3737.77,3731.28,3728.72,3726.37,1932,3888.4,2929.13,           ,           ,0,           ,0,0,0,0,0,           ,           ,           ,           ,0,10,9,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,           ,           ,2.14,1.74,0.69,0.63,1000.4,1000.37,1000.27,1000.2,1000.11,1000.35,1000.34,1000.24,1000.18,1000.52,1932,2344.4,3888.4
 2022/07/25-21:55,3752,3759,3751,3756,2464,3748.04,3739.5,3732.49,3729.61,3726.86,2464,3058.1,2776.52,           ,           ,0,           ,0,0,0,0,0,           ,           ,           ,           ,0,11,10,9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,           ,           ,2.29,1.88,0.77,0.74,1000.59,1000.46,1000.32,1000.24,1000.13,1000.5,1000.41,1000.29,1000.21,1000.49,2464,2320.2,3058.1
 2022/07/25-22:00,3756,3757,3747,3751,1647,3748.7,3740.6,3733.39,3730.32,3727.26,1647,2609.4,2660.85,           ,           ,0,           ,0,0,0,0,0,           ,           ,           ,           ,0,12,11,10,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,           ,           ,2.17,1.93,0.82,0.82,1000.2,1000.29,1000.24,1000.19,1000.11,1000.46,1000.4,1000.29,1000.21,1000.39,1647,2144.8,2609.4
 2022/07/25-22:05,3751,3755,3744,3747,2217,3748.32,3741.21,3734.06,3730.86,3727.59,2217,2391.7,2622.75,           ,           ,0,           ,0,0,0,0,0,           ,           ,           ,           ,0,13,12,11,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,           ,           ,1.91,1.92,0.86,0.88,999.95,1000.16,1000.18,1000.15,1000.09,1000.28,1000.32,1000.25,1000.19,1000.08,2217,2188.8,2391.7
 2022/07/25-22:10,3746,3753,3746,3749,1332,3748.47,3741.95,3734.78,3731.46,3727.94,1332,2221.5,2563.98,           ,           ,0,           ,0,0,0,0,0,           ,           ,           ,           ,0,14,13,12,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,           ,           ,1.75,1.92,0.89,0.94,1000.07,1000.2,1000.2,1000.16,1000.1,1000.2,1000.28,1000.23,1000.18,1000.01,1332,1918.4,2221.5
 2022/07/25-22:15,3749,3759,3749,3756,1719,3750.14,3743.29,3735.82,3732.26,3728.41,1719,2110.1,2555.02,           ,           ,0,           ,0,0,0,0,0,           ,           ,           ,           ,0,15,14,13,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,           ,           ,1.84,2,0.95,1.03,1000.43,1000.36,1000.28,1000.22,1000.12,1000.16,1000.25,1000.22,1000.18,1000.25,1719,1875.8,2110.1
 2022/07/25-22:20,3756,3760,3754,3755,2069,3751.22,3744.4,3736.76,3733.01,3728.85,2069,2058.5,2537.68,           ,           ,0,           ,0,0,0,0,0,           ,           ,           ,           ,0,16,15,14,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,           ,           ,1.83,2.05,1,1.11,1000.29,1000.3,1000.25,1000.2,1000.12,1000.18,1000.25,1000.23,1000.18,1000.36,2069,1796.8,2058.5
 2022/07/25-22:25,3756,3758,3749,3755,1667,3752.06,3745.41,3737.65,3733.73,3729.28,1667,1972.8,2537.57,           ,           ,0,           ,0,0,0,0,0,           ,           ,           ,           ,0,17,16,15,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,           ,           ,1.78,2.08,1.05,1.19,1000.23,1000.27,1000.24,1000.19,1000.12,1000.25,1000.28,1000.24,1000.19,1000.26,1667,1800.8,1972.8
 2022/07/25-22:30,3756,3758,3752,3753,1001,3752.27,3746.14,3738.39,3734.36,3729.67,1001,1873.2,2504.82,           ,           ,0,           ,0,0,0,0,0,           ,           ,           ,           ,0,18,17,16,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,           ,           ,1.64,2.07,1.08,1.26,1000.08,1000.19,1000.2,1000.17,1000.11,1000.26,1000.28,1000.24,1000.19,1000.15,1001,1557.6,1873.2
 2022/07/25-22:35,3753,3759,3745,3759,2503,3753.77,3747.36,3739.4,3735.17,3730.16,2503,1855.1,2520.43,           ,           ,0,           ,0,0,0,0,0,           ,           ,           ,           ,0,19,18,17,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,           ,           ,1.71,2.13,1.13,1.34,1000.38,1000.33,1000.27,1000.22,1000.13,1000.24,1000.27,1000.24,1000.19,1000.23,2503,1791.8,1855.1
 2022/07/25-22:40,3760,3763,3757,3758,2986,3754.71,3748.37,3740.31,3735.92,3730.62,2986,1960.5,2525,           ,           ,0,           ,0,0,0,0,0,           ,           ,           ,           ,0,20,19,18,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,           ,           ,1.7,2.16,1.17,1.42,1000.25,1000.27,1000.24,1000.2,1000.12,1000.24,1000.27,1000.24,1000.19,1000.32,2986,2045.2,1960.5
 2022/07/25-22:45,3758,3775,3757,3770,6079,3758.11,3750.43,3741.76,3737.03,3731.27,6079,2322,2610.25,           ,           ,0,           ,0,0,0,0,0,           ,           ,           ,           ,0,21,20,19,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,           ,           ,2.05,2.32,1.26,1.54,1000.84,1000.55,1000.39,1000.3,1000.17,1000.39,1000.33,1000.27,1000.22,1000.55,6079,2847.2,2322
 2022/07/25-22:50,3771,3779,3760,3762,5571,3758.97,3751.54,3742.74,3737.85,3731.77,5571,2714.4,2709.82,           ,           ,0,           ,0,0,0,0,0,           ,           ,           ,           ,0,22,21,20,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,           ,           ,1.99,2.35,1.31,1.63,1000.25,1000.29,1000.26,1000.22,1000.14,1000.43,1000.36,1000.29,1000.23,1000.54,5571,3628,2714.4
