      时间,    开盘,    最高,    最低,    收盘,         成交量,LH_MAS.MA0   ,LH_MAS.M5_1  ,LH_MAS.M5_2  ,LH_MAS.M5_3  ,LH_MAS.M15_1 , VOL1.VOLUME, VOL1.MAVOL1, VOL1.MAVOL2, VOL1.MAVOL3, VOL1.LB    , VOL1.FZFL  , VOL1.分布  , VOL1.      , VOL1.      , VOL1.      , VOL1.      , VOL1.      ,LH_RQ.REDIAN,LH_RQ.GWANG ,LH_RQ.FL    ,LH_RQ.SL    ,LH_RQ.NORMAL,LH_DKCD.多头长度_S,LH_DKCD.多头长度,LH_DKCD.多头长度_L,LH_DKCD.空头长度_S,LH_DKCD.空头长度,LH_DKCD.空头长度_L,LH_SIGNAL.B     ,LH_SIGNAL.S     ,LH_KL.多头  ,LH_KL.空头  ,LH_KL.靠拢  ,LH_KT.空进攻,LH_KT.空调整,LH_KT.空中继34,LH_KT.空中继23,LH_KT.空中继12,LH_KT.抽MA4 ,LH_KT.抽MA3 ,LH_KT.抽MA2 ,LH_KT.抽MA1 ,LH_KT.超买  ,LH_KT.超买L ,LH_KT.反弹初,LH_KT.反弹中,LH_BSP.LABEL_BSP,LH_BSP.弱势  ,LH_DF_SLP.DF01  ,LH_DF_SLP.DF12  ,LH_DF_SLP.DF23  ,LH_DF_SLP.DF34  ,LH_DF_SLP.SLP0  ,LH_DF_SLP.SLP1  ,LH_DF_SLP.SLP2  ,LH_DF_SLP.SLP3  ,LH_DF_SLP.SLP4  ,LH_DF_SLP.MS0   ,LH_DF_SLP.MS1   ,LH_DF_SLP.MS2   ,LH_DF_SLP.MS3   ,LH_DF_SLP.MS0_HT,  VOL.VOLUME,  VOL.MAVOL1,  VOL.MAVOL2
 2022/07/06-10:00,667.5,668,664.5,666,6424,673.08,677.43,679.81,680.77,681.83,6424,4442.7,           ,           ,           ,0,           ,0,0,0,0,0,           ,           ,           ,           ,0,0,0,0,9,9,9,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,           ,           ,-6.39,-3.5,-1.41,-1.55,997.16,998.23,998.96,999.27,999.61,997.91,998.71,999.24,999.47,997.18,6424,4912.2,4442.7
 2022/07/06-10:05,666.5,670,666,668,4075,671.95,676.53,679.24,680.35,681.6,4075,4262,           ,           ,           ,0,           ,0,0,0,0,0,           ,           ,           ,           ,0,0,0,0,10,10,10,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,           ,           ,-6.73,-3.97,-1.64,-1.84,998.32,998.67,999.15,999.38,999.66,997.66,998.51,999.12,999.38,997.74,4075,5150.6,4262
 2022/07/06-10:10,668,669.5,663,663.5,5028,670.07,675.29,678.47,679.8,681.3,5028,4391.6,           ,           ,           ,0,           ,0,0,0,0,0,           ,           ,           ,           ,0,0,0,0,11,11,11,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,           ,           ,-7.68,-4.67,-1.96,-2.21,997.31,998.17,998.87,999.19,999.56,997.5,998.35,999.01,999.29,997.81,5028,5699.4,4391.6
 2022/07/06-10:15,663.5,664.5,661,663.5,6158,668.61,674.17,677.74,679.26,681.01,6158,4555.2,           ,           ,           ,0,           ,0,0,0,0,0,           ,           ,           ,           ,0,0,0,0,12,12,12,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,           ,           ,-8.18,-5.25,-2.25,-2.56,997.84,998.34,998.92,999.21,999.57,997.66,998.35,998.98,999.26,997.58,6158,6172.8,4555.2
 2022/07/06-10:35,662,668.5,661.5,667.5,6151,668.37,673.53,677.24,678.88,680.78,6151,4873.9,           ,           ,           ,0,           ,0,0,0,0,0,           ,           ,           ,           ,0,0,0,0,13,13,13,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,           ,           ,-7.61,-5.46,-2.42,-2.81,999.47,999.06,999.26,999.43,999.67,998.23,998.56,999.05,999.3,998.66,6151,5567.2,4873.9
 2022/07/06-10:40,667.5,669,663.5,664.5,3248,667.51,672.67,676.62,678.41,680.51,3248,4922.1,           ,           ,           ,0,           ,0,0,0,0,0,           ,           ,           ,           ,0,0,0,0,14,14,14,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,           ,           ,-7.62,-5.81,-2.64,-3.11,998.68,998.72,999.08,999.31,999.6,998.32,998.57,999.03,999.28,999.07,3248,4932,4922.1
 2022/07/06-10:45,664.5,665,659.5,660,6055,665.84,671.47,675.81,677.8,680.17,6055,5239.3,           ,           ,           ,0,           ,0,0,0,0,0,           ,           ,           ,           ,0,0,0,0,15,15,15,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,           ,           ,-8.3,-6.4,-2.95,-3.5,997.59,998.21,998.8,999.11,999.5,998.39,998.58,999.02,999.27,998.13,6055,5328,5239.3
 2022/07/06-10:50,660,660.5,655.5,656.5,6686,663.76,670.04,674.86,677.1,679.78,6686,5679.5,           ,           ,           ,0,           ,0,0,0,0,0,           ,           ,           ,           ,0,0,0,0,16,16,16,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,           ,           ,-9.27,-7.12,-3.31,-3.96,997.02,997.88,998.61,998.97,999.42,998.19,998.47,998.94,999.2,997.31,6686,5659.6,5679.5
 2022/07/06-10:55,656.5,659,655,656,5171,662.04,668.7,673.94,676.41,679.39,5171,5817.5,           ,           ,           ,0,           ,0,0,0,0,0,           ,           ,           ,           ,0,0,0,0,17,17,17,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,           ,           ,-9.85,-7.75,-3.65,-4.4,997.46,998,998.64,998.98,999.42,997.69,998.2,998.78,999.09,997.24,5171,5462.2,5817.5
 2022/07/06-11:00,656,662.5,655.5,661.5,5336,661.92,668.02,673.34,675.92,679.09,5336,5433.2,           ,           ,           ,0,           ,0,0,0,0,0,           ,           ,           ,           ,0,0,0,0,18,18,18,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,           ,           ,-9.02,-7.87,-3.83,-4.69,999.62,998.97,999.1,999.28,999.56,997.92,998.27,998.79,999.08,998.54,5336,5299.2,5433.2
 2022/07/06-11:05,661.5,664,657.5,659,4336,661.27,667.16,672.64,675.37,678.76,4336,5224.4,           ,           ,           ,0,           ,0,0,0,0,0,           ,           ,           ,           ,0,0,0,0,19,19,19,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,           ,           ,-8.72,-8.11,-4.04,-5.02,998.94,998.71,998.96,999.18,999.51,998.26,998.39,998.83,999.1,999.28,4336,5516.8,5224.4
 2022/07/06-11:10,658.5,659.5,657.5,658.5,2220,660.65,666.33,671.95,674.82,678.43,2220,5038.9,           ,           ,           ,0,           ,0,0,0,0,0,           ,           ,           ,           ,0,0,0,0,20,20,20,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,           ,           ,-8.42,-8.32,-4.25,-5.35,999,998.76,998.97,999.18,999.51,998.76,998.61,998.92,999.15,998.97,2220,4749.8,5038.9
 2022/07/06-11:15,658.5,660,656.5,656.5,2091,659.73,665.4,671.19,674.22,678.07,2091,4745.2,           ,           ,           ,0,           ,0,0,0,0,0,           ,           ,           ,           ,0,0,0,0,21,21,21,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,           ,           ,-8.4,-8.6,-4.48,-5.71,998.6,998.59,998.88,999.11,999.47,999.04,998.76,998.98,999.19,998.8,2091,3830.8,4745.2
 2022/07/06-11:20,656.5,664.5,656,660.5,5056,659.9,664.93,670.67,673.77,677.77,5056,4635,           ,           ,           ,0,           ,0,0,0,0,0,           ,           ,           ,           ,0,0,0,0,22,22,22,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,           ,           ,-7.46,-8.52,-4.59,-5.95,1000.09,999.3,999.22,999.33,999.57,999.16,998.84,999.01,999.2,999.34,5056,3807.8,4635
 2022/07/06-11:25,660.5,660.5,649.5,651.5,7790,658.03,663.65,669.74,673.04,677.34,7790,4798.9,           ,           ,           ,0,           ,0,0,0,0,0,           ,           ,           ,           ,0,0,0,0,23,23,23,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,           ,           ,-8.35,-9.04,-4.9,-6.4,997.34,998.08,998.61,998.92,999.36,998.76,998.68,998.92,999.14,998.71,7790,4298.6,4798.9
 2022/07/06-11:30,651.5,655,650,654,5247,657.14,662.73,668.97,672.41,676.95,5247,4998.8,           ,           ,           ,0,           ,0,0,0,0,0,           ,           ,           ,           ,0,0,0,0,24,24,24,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,           ,           ,-8.32,-9.28,-5.12,-6.76,998.63,998.61,998.85,999.07,999.43,998.66,998.65,998.89,999.11,997.99,5247,4480.8,4998.8
 2022/07/06-13:35,657.5,659.5,651.5,653.5,8523,656.33,661.85,668.22,671.79,676.57,8523,5245.6,           ,           ,           ,0,           ,0,0,0,0,0,           ,           ,           ,           ,0,0,0,0,25,25,25,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,           ,           ,-8.22,-9.47,-5.32,-7.11,998.75,998.67,998.87,999.08,999.43,998.7,998.67,998.89,999.1,998.69,8523,5741.4,5245.6
 2022/07/06-13:40,653,655,645.5,647.5,6168,654.37,660.49,667.2,671,676.09,6168,5193.8,           ,           ,           ,0,           ,0,0,0,0,0,           ,           ,           ,           ,0,0,0,0,26,26,26,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,           ,           ,-9.12,-10.01,-5.65,-7.59,997.17,997.93,998.49,998.81,999.29,997.97,998.32,998.7,998.97,997.96,6168,6556.8,5193.8
 2022/07/06-13:45,647.5,654.5,647.5,654.5,5124,654.4,659.92,666.59,670.45,675.73,5124,5189.1,           ,           ,           ,0,           ,0,0,0,0,0,           ,           ,           ,           ,0,0,0,0,27,27,27,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,           ,           ,-8.23,-9.95,-5.77,-7.87,999.87,999.14,999.07,999.19,999.47,998.6,998.59,998.82,999.04,998.52,5124,6570.4,5189.1
 2022/07/06-13:50,654,658.5,652,657,5421,654.98,659.64,666.12,670.01,675.42,5421,5197.6,           ,           ,           ,0,           ,0,0,0,0,0,           ,           ,           ,           ,0,0,0,0,28,28,28,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,           ,           ,-6.96,-9.67,-5.81,-8.07,1000.66,999.58,999.3,999.34,999.54,999.11,998.83,998.93,999.11,1000.26,5421,6096.6,5197.6
 2022/07/06-13:55,657.5,658,653.5,654.5,4346,654.87,659.15,665.55,669.5,675.07,4346,5198.6,           ,           ,           ,0,           ,0,0,0,0,0,           ,           ,           ,           ,0,0,0,0,29,29,29,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,           ,           ,-6.39,-9.56,-5.91,-8.32,999.76,999.26,999.15,999.24,999.49,999.36,998.98,999,999.15,1000.21,4346,5916.4,5198.6
 2022/07/06-14:00,655,658,655,656,2419,655.12,658.85,665.08,669.06,674.76,2419,5218.5,           ,           ,           ,0,           ,0,0,0,0,0,           ,           ,           ,           ,0,0,0,0,30,30,30,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,           ,           ,-5.57,-9.32,-5.94,-8.52,1000.27,999.54,999.3,999.34,999.53,1000.14,999.38,999.2,999.28,1000.02,2419,4695.6,5218.5
 2022/07/06-14:05,656.5,664,656,659,6154,655.98,658.86,664.79,668.73,674.5,6154,5624.8,           ,           ,           ,0,           ,0,0,0,0,0,           ,           ,           ,           ,0,0,0,0,31,31,31,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,           ,           ,-4.31,-8.86,-5.9,-8.62,1001.13,1000.02,999.55,999.51,999.61,1000.45,999.6,999.33,999.36,1000.7,6154,4692.8,5624.8
 2022/07/06-14:10,658.5,659,655.5,655.5,2535,655.88,658.54,664.34,668.3,674.18,2535,5372.7,           ,           ,           ,0,           ,0,0,0,0,0,           ,           ,           ,           ,0,0,0,0,32,32,32,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,           ,           ,-3.99,-8.67,-5.93,-8.81,999.84,999.51,999.32,999.35,999.53,1000.25,999.58,999.33,999.36,1000.48,2535,4175,5372.7
 2022/07/06-14:15,656,662.5,655.5,660.5,3036,656.9,658.73,664.15,668.04,673.96,3036,4897.3,           ,           ,           ,0,           ,0,0,0,0,0,           ,           ,           ,           ,0,0,0,0,33,33,33,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,           ,           ,-2.73,-8.11,-5.83,-8.86,1001.39,1000.28,999.72,999.62,999.66,1000.66,999.84,999.47,999.45,1000.61,3036,3698,4897.3
 2022/07/06-14:20,660.5,661.5,657,659,2145,657.37,658.76,663.9,667.75,673.71,2145,4587.1,           ,           ,           ,0,           ,0,0,0,0,0,           ,           ,           ,           ,0,0,0,0,34,34,34,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,           ,           ,-2.08,-7.7,-5.76,-8.93,1000.66,1000.04,999.62,999.56,999.63,1000.75,999.96,999.55,999.51,1001.02,2145,3257.8,4587.1
 2022/07/06-14:25,659,664,658.5,663,3139,658.62,659.16,663.85,667.59,673.53,3139,4048.7,           ,           ,           ,0,           ,0,0,0,0,0,           ,           ,           ,           ,0,0,0,0,35,35,35,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,           ,           ,-0.81,-7.03,-5.6,-8.9,1001.74,1000.61,999.93,999.77,999.74,1000.91,1000.11,999.65,999.57,1001.2,3139,3401.8,4048.7
 2022/07/06-14:30,663,668,663,668,7836,660.7,660,664.06,667.6,673.44,7836,4215.5,           ,           ,           ,0,           ,0,0,0,0,0,           ,           ,           ,           ,0,0,0,0,0,36,36,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,           ,           ,1.05,-6.07,-5.32,-8.75,1002.91,1001.28,1000.3,1000.02,999.86,1001.68,1000.55,999.89,999.74,1002.33,7836,3738.2,4215.5
 2022/07/06-14:35,668,673.5,667,669,6863,662.55,660.86,664.3,667.65,673.37,6863,4389.4,           ,           ,           ,0,           ,0,0,0,0,0,           ,           ,           ,           ,0,0,0,0,0,37,37,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,           ,           ,2.53,-5.15,-5.02,-8.57,1002.62,1001.3,1000.36,1000.07,999.89,1001.98,1000.81,1000.06,999.85,1002.77,6863,4603.8,4389.4
 2022/07/06-14:40,669,671.5,666.5,670,4349,664.2,661.73,664.57,667.73,673.31,4349,4282.2,4827.13,           ,           ,0,           ,0,0,0,0,0,           ,           ,           ,           ,0,0,0,0,0,38,38,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,           ,           ,3.71,-4.26,-4.72,-8.37,1002.4,1001.32,1000.42,1000.12,999.92,1002.42,1001.13,1000.26,999.99,1002.51,4349,4866.4,4282.2
 2022/07/06-14:45,670,675.5,669,672.5,7030,666.05,662.75,664.96,667.88,673.3,7030,4550.6,4854.08,           ,           ,0,           ,0,0,0,0,0,           ,           ,           ,           ,0,0,0,0,0,39,39,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,           ,           ,4.93,-3.3,-4.37,-8.11,1002.67,1001.55,1000.58,1000.23,999.98,1002.65,1001.36,1000.42,1000.11,1002.53,7030,5843.4,4550.6
 2022/07/06-14:50,673,674.5,671.5,674,5180,667.81,663.83,665.4,668.08,673.31,5180,4826.7,4836.52,           ,           ,0,           ,0,0,0,0,0,           ,           ,           ,           ,0,0,0,0,0,40,40,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,           ,           ,5.97,-2.36,-4.01,-7.82,1002.58,1001.62,1000.66,1000.3,1000.02,1002.57,1001.45,1000.51,1000.18,1002.62,5180,6251.6,4826.7
 2022/07/06-14:55,674.5,677.5,673,676.5,6266,669.74,665.03,665.94,668.36,673.36,6266,4837.9,4899.88,           ,           ,0,           ,0,0,0,0,0,           ,           ,           ,           ,0,0,0,0,0,41,41,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,           ,           ,7.05,-1.36,-3.61,-7.49,1002.81,1001.82,1000.81,1000.41,1000.08,1002.61,1001.58,1000.62,1000.27,1002.69,6266,5937.6,4837.9
 2022/07/06-15:00,676.5,681.5,676,678.5,8107,671.69,666.32,666.56,668.69,673.45,8107,5395.1,4989.5,           ,           ,0,           ,0,0,0,0,0,           ,           ,           ,           ,0,0,0,0,0,42,42,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,           ,           ,8.04,-0.36,-3.19,-7.11,1002.84,1001.93,1000.92,1000.5,1000.13,1002.72,1001.73,1000.74,1000.36,1002.82,8107,6186.4,5395.1
 2022/07/07-21:05,679,683,675,676.5,10154,672.76,667.29,667.04,668.95,673.5,10154,6106.9,5169.25,           ,           ,0,           ,0,0,0,0,0,           ,           ,           ,           ,0,1,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,           ,           ,8.18,0.37,-2.85,-6.8,1001.67,1001.46,1000.73,1000.38,1000.07,1002.47,1001.7,1000.78,1000.4,1002.25,10154,7347.4,6106.9
 2022/07/07-21:10,676.5,679,673.5,674.5,5692,673.15,667.97,667.41,669.13,673.52,5692,6461.6,5242.4,           ,           ,0,           ,0,0,0,0,0,           ,           ,           ,           ,0,2,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,           ,           ,7.73,0.85,-2.58,-6.55,1000.74,1001.03,1000.55,1000.27,1000.02,1002.01,1001.56,1000.75,1000.39,1001.2,5692,7079.8,6461.6
 2022/07/07-21:15,674.5,675,670.5,674.5,7083,673.45,668.59,667.75,669.31,673.53,7083,6856,5347.4,           ,           ,0,           ,0,0,0,0,0,           ,           ,           ,           ,0,3,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,           ,           ,7.25,1.26,-2.32,-6.31,1000.59,1000.93,1000.52,1000.26,1000.02,1001.46,1001.34,1000.68,1000.35,1000.66,7083,7460.4,6856
 2022/07/07-21:20,675,677.5,672,674.5,5868,673.68,669.16,668.08,669.48,673.55,5868,6659.2,5437,           ,           ,0,           ,0,0,0,0,0,           ,           ,           ,           ,0,4,0,0,0,0,46,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,           ,           ,6.76,1.61,-2.09,-6.08,1000.47,1000.84,1000.49,1000.25,1000.02,1000.87,1001.06,1000.57,1000.29,1000.53,5868,7380.8,6659.2
 2022/07/07-21:25,674.5,675,671,671,4254,673.09,669.33,668.22,669.53,673.51,4254,6398.3,5448.58,           ,           ,0,           ,0,0,0,0,0,           ,           ,           ,           ,0,5,0,0,0,0,47,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,           ,           ,5.61,1.66,-1.95,-5.94,999.34,1000.26,1000.21,1000.07,999.94,1000.28,1000.77,1000.44,1000.22,999.9,4254,6610.2,6398.3
 2022/07/07-21:30,671,672.5,670,671,4377,672.62,669.49,668.36,669.57,673.46,4377,6401.1,5328.52,           ,           ,0,           ,0,0,0,0,0,           ,           ,           ,           ,0,6,0,0,0,0,48,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,           ,           ,4.68,1.69,-1.82,-5.81,999.47,1000.24,1000.2,1000.07,999.94,999.97,1000.57,1000.36,1000.17,999.4,4377,5454.8,6401.1
 2022/07/07-21:35,671,676,670,672.5,5113,672.59,669.78,668.56,669.67,673.45,5113,6209.4,5295.75,           ,           ,0,           ,0,0,0,0,0,           ,           ,           ,           ,0,7,0,0,0,0,49,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,           ,           ,4.21,1.82,-1.66,-5.64,1000.02,1000.43,1000.3,1000.14,999.98,999.82,1000.44,1000.3,1000.14,999.74,5113,5339,6209.4
 2022/07/07-21:40,672.5,674,670.5,671.5,3800,672.35,669.94,668.7,669.73,673.42,3800,6071.4,5288.88,           ,           ,0,           ,0,0,0,0,0,           ,           ,           ,           ,0,8,0,0,0,0,50,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,           ,           ,3.6,1.85,-1.53,-5.5,999.72,1000.24,1000.21,1000.09,999.95,999.64,1000.29,1000.23,1000.09,999.87,3800,4682.4,6071.4
 2022/07/07-21:45,671.5,672.5,668,670.5,3722,671.94,669.99,668.79,669.76,673.37,3722,5817,5256.23,           ,           ,0,           ,0,0,0,0,0,           ,           ,           ,           ,0,9,0,0,0,0,51,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,           ,           ,2.9,1.8,-1.44,-5.39,999.48,1000.08,1000.13,1000.04,999.93,999.67,1000.25,1000.21,1000.09,999.6,3722,4253.2,5817
 2022/07/07-21:50,670,673.5,670,673,2662,672.18,670.28,669,669.86,673.36,2662,5272.5,5168.83,           ,           ,0,           ,0,0,0,0,0,           ,           ,           ,           ,0,10,0,0,0,0,52,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,           ,           ,2.83,1.92,-1.29,-5.22,1000.33,1000.43,1000.31,1000.16,999.99,999.89,1000.29,1000.24,1000.11,999.9,2662,3934.8,5272.5
 2022/07/07-21:55,673,676,673,673,4167,672.36,670.54,669.19,669.97,673.36,4167,4673.8,5119.23,           ,           ,0,           ,0,0,0,0,0,           ,           ,           ,           ,0,11,0,0,0,0,53,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,           ,           ,2.71,2.01,-1.15,-5.06,1000.26,1000.39,1000.29,1000.15,999.99,999.95,1000.28,1000.24,1000.11,1000.29,4167,3892.8,4673.8
